seed,T_warmup,T_stat,B,P_min,P_max,KL_R_M_corr,KL_S_M_corr,KL_Mk_M_corr,KL_R_M_naive,KL_S_M_naive,KL_Mk_M_naive,delta_sigma_R_corr,delta_sigma_Mk_corr,delta_sigma_R_naive,delta_sigma_Mk_naive,Delta_kappa_corr,Delta_kappa_naive,K_R_nonempty,K_S_nonempty,K_M_nonempty,K_Mk_nonempty,laplace_bins_R,laplace_bins_S,laplace_bins_Mk,clip_events_R,clip_events_S,clip_events_M,clip_events_Mk
1500,5000,50000,64,0.000000000000,1.000000000000,0.166804169926,0.842040881280,1.000154092539,0.166801826176,0.842040881310,1.000154092570,-0.675236711354,0.158113211259,-0.675239055135,0.158113211259,0.833349922614,0.833352266394,38,63,53,63,0,10,10,0,0,0,0
1501,5000,50000,64,0.000000000000,1.000000000000,0.047634386524,0.173384186531,0.382529592388,0.047632355274,0.173384186543,0.382529592403,-0.125749800007,0.209145405857,-0.125751831269,0.209145405860,0.334895205864,0.334897237129,46,63,59,64,0,4,5,0,0,0,0
1502,5000,50000,64,0.000000000000,1.000000000000,0.096030965561,0.425549832598,0.431851617525,0.096029090561,0.425549832619,0.431851617539,-0.329518867037,0.006301784927,-0.329520742058,0.006301784920,0.335820651964,0.335822526978,43,62,55,60,0,7,5,0,0,0,0
1503,5000,50000,64,0.000000000000,1.000000000000,0.084806751448,0.315280136938,0.630161618858,0.084804407698,0.315280136956,0.630161618872,-0.230473385490,0.314881481920,-0.230475729258,0.314881481917,0.545354867410,0.545357211175,41,62,56,61,0,6,5,0,0,0,0
1504,5000,50000,64,0.000000000000,1.000000000000,0.079582796052,0.197300130402,0.582188001628,0.079580296052,0.197300130413,0.582188001646,-0.117717334349,0.384887871226,-0.117719834361,0.384887871233,0.502605205576,0.502607705594,42,62,58,64,0,4,6,0,0,0,0
1505,5000,50000,64,0.000000000000,1.000000000000,0.081687288218,0.309812650136,0.515650868570,0.081685100718,0.309812650163,0.515650868601,-0.228125361917,0.205838218434,-0.228127549444,0.205838218438,0.433963580351,0.433965767882,40,63,54,64,0,9,10,0,0,0,0
1506,5000,50000,64,0.000000000000,1.000000000000,0.171975873267,0.291318441947,0.511844638028,0.171973060767,0.291318441962,0.511844638046,-0.119342568680,0.220526196081,-0.119345381195,0.220526196084,0.339868764761,0.339871577279,38,61,56,62,0,5,6,0,0,0,0
1507,5000,50000,64,0.000000000000,1.000000000000,0.082395569036,0.361495771828,0.612431368964,0.082393069036,0.361495771852,0.612431368992,-0.279100202792,0.250935597136,-0.279102702816,0.250935597139,0.530035799928,0.530038299955,39,63,55,64,0,8,9,0,0,0,0
1508,5000,50000,64,0.000000000000,1.000000000000,0.236489100533,0.495255979117,0.746484983014,0.236485975533,0.495255979126,0.746484983029,-0.258766878584,0.251229003897,-0.258770003593,0.251229003903,0.509995882481,0.509999007496,38,61,58,63,0,3,5,0,0,0,0
1509,5000,50000,64,0.000000000000,1.000000000000,0.195984715426,0.341371522211,0.811775477038,0.195982684176,0.341371522225,0.811775477059,-0.145386806785,0.470403954827,-0.145388838050,0.470403954833,0.615790761612,0.615792792883,42,60,55,62,0,5,7,0,0,0,0
1510,5000,50000,64,0.000000000000,1.000000000000,0.083043793462,0.247258962676,0.640267556342,0.083041449712,0.247258962685,0.640267556360,-0.164215169214,0.393008593666,-0.164217512972,0.393008593675,0.557223762879,0.557226106647,41,59,56,62,0,3,6,0,0,0,0
1511,5000,50000,64,0.000000000000,1.000000000000,0.185291981924,1.064426049878,0.787732929070,0.185289325674,1.064426049923,0.787732929111,-0.879134067954,-0.276693120808,-0.879136724249,-0.276693120812,0.602440947146,0.602443603437,31,63,48,62,0,15,14,0,0,0,0
1512,5000,50000,64,0.000000000000,1.000000000000,0.084745751300,0.192927482596,0.560616677296,0.084743720050,0.192927482608,0.560616677314,-0.108181731296,0.367689194700,-0.108183762558,0.367689194707,0.475870925996,0.475872957264,44,61,57,63,0,4,6,0,0,0,0
1513,5000,50000,64,0.000000000000,1.000000000000,0.054062640097,0.123716869405,0.359287409734,0.054060921347,0.123716869420,0.359287409743,-0.069654229307,0.235570540329,-0.069655948073,0.235570540323,0.305224769637,0.305226488395,47,63,58,61,0,5,3,0,0,0,0
1514,5000,50000,64,0.000000000000,1.000000000000,0.128009445453,0.496292829649,0.583994609291,0.128006789203,0.496292829676,0.583994609325,-0.368283384197,0.087701779642,-0.368286040473,0.087701779649,0.455985163839,0.455987820122,36,62,53,64,0,9,11,0,0,0,0
1515,5000,50000,64,0.000000000000,1.000000000000,0.121580026008,0.212329979379,0.648605637922,0.121577682258,0.212329979400,0.648605637946,-0.090749953371,0.436275658543,-0.090752297142,0.436275658546,0.527025611914,0.527027955688,40,62,55,63,0,7,8,0,0,0,0
1516,5000,50000,64,0.000000000000,1.000000000000,0.139376129757,0.309319121150,0.670052695638,0.139373629757,0.309319121173,0.670052695666,-0.169942991392,0.360733574489,-0.169945491416,0.360733574492,0.530676565881,0.530679065908,38,62,54,63,0,8,9,0,0,0,0
1517,5000,50000,64,0.000000000000,1.000000000000,0.103929802955,0.364454042191,0.490100162963,0.103927146705,0.364454042205,0.490100162984,-0.260524239236,0.125646120772,-0.260526895500,0.125646120779,0.386170360008,0.386173016279,38,60,55,62,0,5,7,0,0,0,0
1518,5000,50000,64,0.000000000000,1.000000000000,0.169762517494,0.910893423455,1.073416151910,0.169759236244,0.910893423485,1.073416151940,-0.741130905961,0.162522728455,-0.741134187241,0.162522728455,0.903653634417,0.903656915696,31,62,52,62,0,10,10,0,0,0,0
1519,5000,50000,64,0.000000000000,1.000000000000,0.161429518903,0.410362103536,0.809693396597,0.161427331403,0.410362103551,0.809693396612,-0.248932584632,0.399331293062,-0.248934772147,0.399331293062,0.648263877694,0.648266065209,43,62,57,62,0,5,5,0,0,0,0
1520,5000,50000,64,0.000000000000,1.000000000000,0.183473315181,0.681175783176,0.998811624926,0.183470971431,0.681175783199,0.998811624950,-0.497702467994,0.317635841750,-0.497704811768,0.317635841750,0.815338309745,0.815340653518,38,61,53,61,0,8,8,0,0,0,0
1521,5000,50000,64,0.000000000000,1.000000000000,0.200859373300,0.230302355955,0.490407885619,0.200856248300,0.230302355963,0.490407885628,-0.029442982655,0.260105529664,-0.029446107663,0.260105529664,0.289548512319,0.289551637328,37,60,57,60,0,3,3,0,0,0,0
1522,5000,50000,64,0.000000000000,1.000000000000,0.143930592632,0.200185217407,0.491056433880,0.143927780132,0.200185217422,0.491056433897,-0.056254624775,0.290871216472,-0.056257437290,0.290871216475,0.347125841247,0.347128653765,38,61,56,62,0,5,6,0,0,0,0
1523,5000,50000,64,0.000000000000,1.000000000000,0.309384183726,0.275482796748,0.348946946582,0.309380589976,0.275482796763,0.348946946597,0.033901386978,0.073464149834,0.033897793213,0.073464149834,0.039562762856,0.039566356621,34,62,57,62,0,5,5,0,0,0,0
1524,5000,50000,64,0.000000000000,1.000000000000,0.064386578035,0.168648693005,0.503723222988,0.064384546785,0.168648693017,0.503723223006,-0.104262114970,0.335074529982,-0.104264146232,0.335074529989,0.439336644953,0.439338676221,44,61,57,63,0,4,6,0,0,0,0
1525,5000,50000,64,0.000000000000,1.000000000000,0.095774256357,0.330312777871,0.689868385706,0.095772068857,0.330312777879,0.689868385721,-0.234538521514,0.359555607835,-0.234540709022,0.359555607841,0.594094129349,0.594096316864,43,60,57,62,0,3,5,0,0,0,0
1526,5000,50000,64,0.000000000000,1.000000000000,0.180262705295,0.137911346502,0.496278912687,0.180259736545,0.137911346517,0.496278912708,0.042351358793,0.358367566185,0.042348390028,0.358367566192,0.316016207392,0.316019176164,38,62,57,64,0,5,7,0,0,0,0
1527,5000,50000,64,0.000000000000,1.000000000000,0.209183802737,0.315682765600,0.565598861097,0.209181146487,0.315682765608,0.565598861109,-0.106498962863,0.249916095497,-0.106501619121,0.249916095501,0.356415058360,0.356417714622,41,61,58,62,0,3,4,0,0,0,0
1528,5000,50000,64,0.000000000000,1.000000000000,0.063432715625,0.212848319638,0.556685157293,0.063430215625,0.212848319652,0.556685157315,-0.149415604013,0.343836837656,-0.149418104028,0.343836837662,0.493252441669,0.493254941690,41,62,57,64,0,5,7,0,0,0,0
1529,5000,50000,64,0.000000000000,1.000000000000,0.148996184951,0.898502375230,0.956639920419,0.148993684951,0.898502375262,0.956639920451,-0.749506190280,0.058137545189,-0.749508690311,0.058137545189,0.807643735468,0.807646235500,33,60,49,60,0,11,11,0,0,0,0
